reference	RNA_GMP_Ven_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_A	RNA_GMP_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_Ven_B	RNA_HSC_vehicle_A	RNA_HSC_vehicle_B
0610009B22Rik	438.0	495.0	555.0	399.0	319.0	252.0	538.0	185.0
0610010F05Rik	1901.0	2075.0	2104.0	1854.0	291.0	436.0	1293.0	228.0
0610010K14Rik	159.0	165.0	115.0	159.0	400.0	381.0	105.0	64.0
0610012G03Rik	601.0	616.0	613.0	540.0	904.0	723.0	511.0	260.0
0610030E20Rik	2154.0	1447.0	1400.0	1294.0	500.0	717.0	1258.0	353.0
0610040J01Rik	94.0	65.0	61.0	84.0	60.0	87.0	162.0	67.0
1110002E22Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1110004F10Rik	3941.0	4207.0	3636.0	3595.0	1584.0	1459.0	2556.0	985.0
1110008P14Rik	209.0	220.0	167.0	217.0	910.0	235.0	211.0	124.0
1110012L19Rik	311.0	312.0	307.0	251.0	206.0	97.0	288.0	110.0
1110017D15Rik	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	139.0	157.0	142.0	163.0	95.0	104.0	186.0	42.0
1110032F04Rik	18.0	73.0	52.0	57.0	7.0	0.0	2.0	1.0
1110038F14Rik	474.0	496.0	481.0	515.0	871.0	1102.0	388.0	241.0
1110051M20Rik	146.0	165.0	100.0	121.0	37.0	39.0	63.0	27.0
1110057P08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110059E24Rik	975.0	1074.0	1084.0	890.0	537.0	635.0	1150.0	415.0
1110059G10Rik	401.0	572.0	379.0	443.0	767.0	757.0	591.0	244.0
1110065P20Rik	62.0	54.0	46.0	30.0	49.0	11.0	31.0	23.0
1190005I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1190007I07Rik	234.0	228.0	199.0	241.0	394.0	421.0	151.0	73.0
1300017J02Rik	0.0	0.0	2.0	2.0	0.0	7.0	0.0	0.0
1500009C09Rik	1.0	2.0	3.0	8.0	2.0	6.0	4.0	6.0
1500009L16Rik	0.0	2.0	0.0	0.0	1.0	0.0	5.0	1.0
1500011B03Rik	181.0	233.0	197.0	219.0	167.0	212.0	119.0	85.0
1520401A03Rik	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
1600002K03Rik	152.0	150.0	146.0	113.0	543.0	248.0	112.0	86.0
1600012H06Rik	903.0	850.0	887.0	692.0	337.0	340.0	865.0	222.0
1600014C10Rik	4224.0	3852.0	3475.0	3467.0	839.0	779.0	3235.0	834.0
1600014C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	15.0	4.0	8.0	13.0	1.0	2.0	6.0	0.0
1700001F09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001J03Rik	1.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0
1700001K19Rik	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001O22Rik	1.0	0.0	4.0	3.0	2.0	0.0	8.0	0.0
1700001P01Rik	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0
1700003E16Rik	7.0	0.0	7.0	3.0	0.0	3.0	4.0	3.0
1700003F12Rik	2.0	3.0	0.0	2.0	1.0	3.0	0.0	0.0
1700003H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700006A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700007K13Rik	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	4.0	9.0	8.0	13.0	7.0	0.0	4.0	5.0
1700008P02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700009N14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700010B08Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700010I14Rik	288.0	254.0	211.0	258.0	122.0	136.0	218.0	86.0
1700011L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700011M02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700012A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700012B07Rik	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1700012B09Rik	12.0	27.0	6.0	18.0	77.0	78.0	34.0	27.0
1700012P22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1700013H16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700014D04Rik	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
1700015F17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700016C15Rik	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
1700016D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700016H13Rik	1.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0
1700016K19Rik	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1700017B05Rik	1195.0	827.0	1004.0	895.0	652.0	959.0	943.0	336.0
1700017D01Rik	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700017N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018F24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019A02Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	155.0	103.0	99.0	140.0	40.0	109.0	74.0	15.0
1700019N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020A23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020D05Rik	1.0	3.0	0.0	3.0	0.0	8.0	1.0	3.0
1700020L24Rik	582.0	543.0	462.0	387.0	869.0	493.0	307.0	183.0
1700020N01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700020N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700021F05Rik	468.0	502.0	418.0	399.0	749.0	798.0	335.0	178.0
1700021F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700022I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700023F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024B05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025F22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700025G04Rik	195.0	162.0	141.0	122.0	121.0	84.0	160.0	38.0
1700028J19Rik	39.0	25.0	15.0	11.0	6.0	8.0	27.0	11.0
1700028K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700028P14Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029F12Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1700029H14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029I15Rik	0.0	0.0	2.0	0.0	7.0	3.0	1.0	0.0
1700029J07Rik	2.0	9.0	7.0	3.0	5.0	6.0	5.0	1.0
1700029P11Rik	24.0	31.0	19.0	11.0	20.0	16.0	8.0	2.0
1700030J22Rik	4.0	9.0	2.0	3.0	4.0	0.0	10.0	0.0
1700030K09Rik	317.0	327.0	300.0	299.0	209.0	268.0	305.0	75.0
1700031F05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700031L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034E13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700034I23Rik	9.0	3.0	1.0	2.0	3.0	0.0	1.0	0.0
1700034J05Rik	6.0	4.0	1.0	0.0	1.0	6.0	2.0	5.0
1700037C18Rik	105.0	90.0	51.0	62.0	138.0	124.0	67.0	31.0
1700037H04Rik	366.0	273.0	274.0	257.0	799.0	491.0	557.0	260.0
1700040F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700042G07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700047I17Rik2	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0
1700049E17Rik1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700049E17Rik2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700056E22Rik	1.0	1.0	2.0	3.0	18.0	29.0	9.0	1.0
1700057G04Rik	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1700061G19Rik	7.0	3.0	1.0	2.0	24.0	5.0	5.0	2.0
1700064H15Rik	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
1700066B19Rik	25.0	25.0	16.0	18.0	54.0	68.0	13.0	12.0
1700066M21Rik	579.0	478.0	529.0	390.0	195.0	163.0	496.0	132.0
1700067K01Rik	2.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0
1700067P10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700069L16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700074P13Rik	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1700080O16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700084M14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700086D15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700088E04Rik	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
1700092M07Rik	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
1700093K21Rik	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
1700094D03Rik	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1700102P08Rik	6.0	2.0	7.0	4.0	1.0	5.0	2.0	2.0
1700109H08Rik	6.0	11.0	11.0	2.0	1.0	6.0	1.0	0.0
1700113H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700122O11Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1700123K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700123L14Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1700123O20Rik	1691.0	2244.0	1904.0	1665.0	1117.0	1089.0	1643.0	624.0
1700125H20Rik	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
1700129C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810009A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810009J06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810010H24Rik	17.0	8.0	6.0	24.0	0.0	3.0	2.0	2.0
1810013L24Rik	697.0	569.0	609.0	453.0	210.0	262.0	488.0	148.0
1810020O05Rik	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
1810024B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810030O07Rik	2424.0	2254.0	2085.0	1837.0	759.0	925.0	1957.0	554.0
1810037I17Rik	2311.0	2640.0	2294.0	1999.0	12237.0	11685.0	1818.0	1016.0
1810046K07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810049J17Rik	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1810055G02Rik	336.0	273.0	250.0	177.0	26.0	14.0	198.0	32.0
1810058I24Rik	735.0	679.0	566.0	680.0	1244.0	1091.0	592.0	314.0
1810062G17Rik	0.0	3.0	1.0	3.0	1.0	0.0	4.0	4.0
1810065E05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010003K11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010106E10Rik	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2010109A12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010300C02Rik	1.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0
2010315B03Rik	400.0	422.0	246.0	378.0	103.0	114.0	319.0	64.0
2200002D01Rik	9.0	0.0	15.0	6.0	6.0	6.0	5.0	1.0
2200002J24Rik	1.0	2.0	1.0	4.0	12.0	0.0	0.0	1.0
2210010C04Rik	1.0	2.0	0.0	0.0	0.0	1.0	3.0	0.0
2210011C24Rik	0.0	5.0	0.0	1.0	0.0	0.0	0.0	2.0
2210016F16Rik	1959.0	1679.0	1598.0	1742.0	1850.0	1807.0	1348.0	740.0
2210016L21Rik	389.0	384.0	373.0	343.0	533.0	289.0	348.0	195.0
2210017I01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2210407C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2210408I21Rik	74.0	78.0	47.0	62.0	34.0	11.0	34.0	8.0
2210418O10Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
2300002M23Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
2300003K06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2300009A05Rik	131.0	150.0	93.0	123.0	142.0	77.0	76.0	38.0
2310002L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310009A05Rik	172.0	158.0	166.0	161.0	512.0	297.0	146.0	70.0
2310009B15Rik	90.0	101.0	103.0	115.0	352.0	279.0	53.0	42.0
2310011J03Rik	1388.0	1229.0	1220.0	1204.0	1487.0	1470.0	921.0	544.0
2310022A10Rik	669.0	416.0	464.0	413.0	168.0	209.0	516.0	123.0
2310022B05Rik	353.0	237.0	246.0	288.0	123.0	126.0	189.0	57.0
2310030G06Rik	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
2310033P09Rik	276.0	278.0	278.0	223.0	609.0	471.0	223.0	112.0
2310034C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310034G01Rik	35.0	34.0	23.0	38.0	14.0	11.0	4.0	12.0
2310039H08Rik	301.0	356.0	280.0	326.0	780.0	617.0	162.0	90.0
2310046K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310050C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310057J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310057M21Rik	402.0	390.0	390.0	334.0	135.0	219.0	254.0	76.0
2310057N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310061I04Rik	174.0	138.0	184.0	165.0	133.0	166.0	173.0	53.0
2310061N02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310079G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2410002F23Rik	1378.0	1286.0	1194.0	993.0	630.0	1309.0	957.0	297.0
2410004B18Rik	395.0	427.0	468.0	315.0	440.0	499.0	398.0	193.0
2410004P03Rik	31.0	57.0	38.0	47.0	35.0	46.0	36.0	7.0
2410131K14Rik	195.0	158.0	202.0	178.0	155.0	115.0	150.0	46.0
2410137M14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2410141K09Rik	2.0	3.0	3.0	3.0	0.0	0.0	9.0	0.0
2510002D24Rik	579.0	645.0	475.0	510.0	672.0	619.0	385.0	208.0
2510009E07Rik	88.0	92.0	105.0	74.0	14.0	42.0	60.0	9.0
2510039O18Rik	2402.0	1626.0	1789.0	1745.0	845.0	970.0	1826.0	498.0
2610001J05Rik	2006.0	2343.0	1807.0	1921.0	1956.0	2572.0	1498.0	735.0
2610002M06Rik	1043.0	889.0	744.0	686.0	324.0	401.0	666.0	190.0
2610008E11Rik	429.0	391.0	315.0	327.0	149.0	219.0	337.0	78.0
2610021A01Rik	520.0	530.0	577.0	383.0	67.0	160.0	358.0	61.0
2610028H24Rik	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
2610042L04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2610044O15Rik8	698.0	662.0	599.0	415.0	75.0	105.0	557.0	92.0
2610301B20Rik	482.0	554.0	533.0	374.0	162.0	170.0	355.0	102.0
2610318N02Rik	203.0	208.0	216.0	181.0	215.0	218.0	166.0	70.0
2610507B11Rik	4871.0	3316.0	3240.0	3250.0	1083.0	1448.0	3261.0	498.0
2610528A11Rik	7.0	3.0	12.0	13.0	17.0	0.0	6.0	9.0
2610528J11Rik	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
2700049A03Rik	833.0	748.0	684.0	602.0	138.0	210.0	639.0	131.0
2700062C07Rik	355.0	385.0	333.0	294.0	217.0	118.0	221.0	116.0
2700081O15Rik	40.0	41.0	32.0	49.0	23.0	52.0	30.0	10.0
2700097O09Rik	222.0	223.0	267.0	155.0	95.0	128.0	172.0	70.0
2810004N23Rik	1133.0	1080.0	1140.0	998.0	1503.0	1541.0	989.0	471.0
2810006K23Rik	545.0	494.0	515.0	391.0	340.0	170.0	489.0	144.0
2810021J22Rik	359.0	369.0	316.0	350.0	33.0	81.0	279.0	49.0
2810408A11Rik	112.0	55.0	49.0	54.0	19.0	23.0	14.0	10.0
2810459M11Rik	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
2900026A02Rik	59.0	43.0	53.0	63.0	22.0	79.0	80.0	7.0
2900092C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3110001I22Rik	257.0	280.0	365.0	234.0	67.0	43.0	323.0	92.0
3110009E18Rik	63.0	65.0	42.0	51.0	175.0	181.0	77.0	39.0
3110021N24Rik	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3110040M04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3110040N11Rik	305.0	306.0	329.0	306.0	714.0	663.0	238.0	134.0
3110082I17Rik	539.0	472.0	457.0	549.0	484.0	375.0	270.0	196.0
3110082J24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3300002I08Rik	1.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0
3425401B19Rik	0.0	0.0	0.0	0.0	1.0	7.0	1.0	0.0
3830403N18Rik	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0
3830406C13Rik	1702.0	1500.0	1417.0	1102.0	558.0	499.0	1302.0	375.0
3830417A13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4430402I18Rik	2.0	1.0	0.0	3.0	0.0	0.0	3.0	0.0
4632433K11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4833420G17Rik	1309.0	1245.0	1148.0	1056.0	599.0	1561.0	1081.0	346.0
4833423E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4833427G06Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4833439L19Rik	3175.0	2134.0	1998.0	2119.0	400.0	313.0	2100.0	494.0
4921504E06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4921507P07Rik	28.0	13.0	7.0	15.0	8.0	12.0	34.0	11.0
4921509C19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4921511C20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4921511M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4921517D22Rik	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
4921524J17Rik	1152.0	1289.0	1110.0	856.0	779.0	1278.0	1059.0	429.0
4921524L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4921536K21Rik	3.0	7.0	1.0	5.0	11.0	7.0	0.0	1.0
4921539E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4922502D21Rik	9.0	4.0	5.0	3.0	26.0	45.0	30.0	21.0
4930402F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930402H24Rik	267.0	262.0	202.0	180.0	89.0	149.0	267.0	56.0
4930402K13Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
4930404H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930404N11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930407I10Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930412O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930415L06Rik	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
4930415O20Rik	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
4930430A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930430F08Rik	115.0	136.0	167.0	137.0	32.0	60.0	101.0	25.0
4930432K21Rik	37.0	55.0	39.0	44.0	15.0	5.0	24.0	14.0
4930432M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930433I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930438A08Rik	1771.0	1271.0	1212.0	1114.0	141.0	56.0	945.0	195.0
4930444G20Rik	0.0	3.0	1.0	3.0	0.0	0.0	1.0	0.0
4930444P10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930447A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930447C04Rik	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
4930447F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930449I24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930451I11Rik	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0
4930452B06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930453N24Rik	1073.0	1071.0	938.0	790.0	583.0	645.0	856.0	305.0
4930455H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930467E23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930469K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930470P17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930474N05Rik	4.0	2.0	1.0	0.0	1.0	5.0	3.0	1.0
4930480E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930486L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930502E18Rik	4.0	37.0	0.0	5.0	0.0	0.0	0.0	0.0
4930503B20Rik	0.0	0.0	0.0	0.0	6.0	5.0	2.0	0.0
4930503E14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930503L19Rik	379.0	402.0	369.0	288.0	40.0	48.0	198.0	42.0
4930505A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930512M02Rik	36.0	55.0	38.0	35.0	39.0	75.0	34.0	7.0
4930513O06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930516K23Rik	0.0	3.0	0.0	1.0	1.0	1.0	2.0	0.0
4930519G04Rik	1.0	3.0	1.0	2.0	3.0	1.0	3.0	0.0
4930522H14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930522L14Rik	562.0	450.0	429.0	349.0	141.0	65.0	521.0	86.0
4930523C07Rik	1152.0	839.0	716.0	772.0	425.0	566.0	901.0	234.0
4930524B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930524N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930539E08Rik	59.0	80.0	50.0	48.0	11.0	28.0	73.0	15.0
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930544G11Rik	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4930548H24Rik	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0
4930550C14Rik	0.0	1.0	2.0	2.0	5.0	2.0	8.0	1.0
4930550L24Rik	40.0	3.0	25.0	5.0	0.0	1.0	2.0	0.0
4930555G01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930556J24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930558C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930558K02Rik	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
4930562C15Rik	3.0	2.0	0.0	5.0	1.0	0.0	6.0	0.0
4930563E22Rik	18.0	8.0	15.0	20.0	2.0	4.0	7.0	4.0
4930563M21Rik	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4930564D02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930568D16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930572O03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930578G10Rik	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
4930578I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930579F01Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930579G24Rik	1580.0	1233.0	1341.0	1150.0	470.0	624.0	1010.0	284.0
4930583I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930590J08Rik	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
4930595D18Rik	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0
4930595M18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930596D02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931400O07Rik	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931406B18Rik	3.0	3.0	0.0	1.0	9.0	5.0	2.0	1.0
4931406C07Rik	178.0	119.0	115.0	111.0	147.0	215.0	151.0	55.0
4931406P16Rik	385.0	259.0	259.0	240.0	74.0	209.0	345.0	41.0
4931408C20Rik	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
4931414P19Rik	134.0	72.0	119.0	115.0	60.0	93.0	90.0	26.0
4931417E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931422A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931428F04Rik	31.0	15.0	13.0	16.0	3.0	7.0	24.0	2.0
4931428L18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931429L15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931440F15Rik	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0
4932411N23Rik	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4932414N04Rik	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
